Price,Close,MA50,MA200,Signal,BH_Value,MA_Value
Ticker,^GSPC,,,,,
Date,,,,,,
2015-06-12,2094.110107421875,,,0,,
2015-06-15,2084.429931640625,,,0,,
2015-06-16,2096.2900390625,,,0,,
2015-06-17,2100.43994140625,,,0,,
2015-06-18,2121.239990234375,,,0,,
2015-06-19,2109.989990234375,,,0,,
2015-06-22,2122.85009765625,,,0,,
2015-06-23,2124.199951171875,,,0,,
2015-06-24,2108.580078125,,,0,,
2015-06-25,2102.31005859375,,,0,,
2015-06-26,2101.489990234375,,,0,,
2015-06-29,2057.639892578125,,,0,,
2015-06-30,2063.110107421875,,,0,,
2015-07-01,2077.419921875,,,0,,
2015-07-02,2076.780029296875,,,0,,
2015-07-06,2068.760009765625,,,0,,
2015-07-07,2081.340087890625,,,0,,
2015-07-08,2046.6800537109375,,,0,,
2015-07-09,2051.31005859375,,,0,,
2015-07-10,2076.6201171875,,,0,,
2015-07-13,2099.60009765625,,,0,,
2015-07-14,2108.949951171875,,,0,,
2015-07-15,2107.39990234375,,,0,,
2015-07-16,2124.2900390625,,,0,,
2015-07-17,2126.639892578125,,,0,,
2015-07-20,2128.280029296875,,,0,,
2015-07-21,2119.2099609375,,,0,,
2015-07-22,2114.14990234375,,,0,,
2015-07-23,2102.14990234375,,,0,,
2015-07-24,2079.64990234375,,,0,,
2015-07-27,2067.639892578125,,,0,,
2015-07-28,2093.25,,,0,,
2015-07-29,2108.570068359375,,,0,,
2015-07-30,2108.6298828125,,,0,,
2015-07-31,2103.840087890625,,,0,,
2015-08-03,2098.0400390625,,,0,,
2015-08-04,2093.320068359375,,,0,,
2015-08-05,2099.840087890625,,,0,,
2015-08-06,2083.56005859375,,,0,,
2015-08-07,2077.570068359375,,,0,,
2015-08-10,2104.179931640625,,,0,,
2015-08-11,2084.070068359375,,,0,,
2015-08-12,2086.050048828125,,,0,,
2015-08-13,2083.389892578125,,,0,,
2015-08-14,2091.5400390625,,,0,,
2015-08-17,2102.43994140625,,,0,,
2015-08-18,2096.919921875,,,0,,
2015-08-19,2079.610107421875,,,0,,
2015-08-20,2035.72998046875,,,0,,
2015-08-21,1970.8900146484375,2090.8998046875,,0,,
2015-08-24,1893.2099609375,2086.8818017578124,,0,,
2015-08-25,1867.6099853515625,2082.5454028320314,,0,,
2015-08-26,1940.510009765625,2079.429802246094,,0,,
2015-08-27,1987.6600341796875,2077.1742041015623,,0,,
2015-08-28,1988.8699951171875,2074.5268041992185,,0,,
2015-08-31,1972.1800537109375,2071.77060546875,,0,,
2015-09-01,1913.8499755859375,2067.5906030273436,,0,,
2015-09-02,1948.8599853515625,2064.0838037109374,,0,,
2015-09-03,1951.1300048828125,2060.9348022460936,,0,,
2015-09-04,1921.219970703125,2057.3130004882814,,0,,
2015-09-08,1969.4100341796875,2054.6714013671876,,0,,
2015-09-09,1942.0400390625,2052.359404296875,,0,,
2015-09-10,1952.2900390625,2050.1430029296876,,0,,
2015-09-11,1961.050048828125,2047.81560546875,,0,,
2015-09-14,1953.030029296875,2045.34060546875,,0,,
2015-09-15,1978.0899658203125,2043.5272045898437,,0,,
2015-09-16,1995.31005859375,2041.8066040039062,,0,,
2015-09-17,1990.199951171875,2040.677001953125,,0,,
2015-09-18,1958.030029296875,2038.8114013671875,,0,,
